[39, 40, 45, 69][0, 0, 0, 0]
[39, 40, 45, 70][0, 0, 0, 0]
[39, 40, 45, 70][0, 0, 0, 0]
[39, 40, 45, 71][0, 0, 0, 0]
[39, 40, 45, 71][0, 0, 0, 0]
[39, 40, 46, 71][0, 0, 0, 0]
[39, 40, 46, 71][0, 0, 0, 0]
[40, 40, 46, 71][0, 0, 0, 0]
[40, 40, 46, 71][0, 0, 0, 0]
[40, 41, 46, 71][0, 0, 0, 0]
[40, 41, 46, 71][0, 0, 0, 0]
[40, 41, 46, 72][0, 0, 0, 0]
[40, 41, 46, 72][0, 0, 0, 0]
[40, 42, 46, 72][0, 0, 0, 0]
[40, 42, 46, 72][0, 0, 0, 0]
[40, 42, 47, 72][0, 0, 0, 0]
[40, 42, 47, 72][0, 0, 0, 0]
[40, 43, 47, 72][0, 0, 0, 0]
[40, 43, 47, 72][0, 0, 0, 0]
[41, 43, 47, 72][0, 0, 0, 0]
[41, 43, 47, 72][0, 0, 0, 0]
[41, 43, 47, 73][0, 0, 0, 0]
[41, 43, 47, 73][0, 0, 0, 0]
[41, 44, 47, 73][0, 0, 0, 0]
[41, 44, 47, 73][0, 0, 0, 0]
[41, 44, 47, 74][0, 0, 0, 0]
[41, 44, 47, 74][0, 0, 0, 0]
[41, 44, 48, 74][0, 0, 0, 0]
[41, 44, 48, 74][0, 0, 0, 0]
[41, 44, 48, 75][0, 0, 0, 0]
[41, 44, 48, 75][0, 0, 0, 0]
[41, 44, 48, 76][0, 0, 0, 0]
[41, 44, 48, 76][0, 0, 0, 0]
[41, 44, 48, 77][0, 0, 0, 0]
[41, 44, 48, 77][0, 0, 0, 0]
[42, 44, 48, 77][0, 0, 0, 0]
[42, 44, 48, 77][0, 0, 0, 0]
[42, 45, 48, 77][0, 0, 0, 0]
[42, 45, 48, 77][0, 0, 0, 0]
[42, 45, 49, 77][0, 0, 0, 0]
[42, 45, 49, 77][0, 0, 0, 0]
[42, 46, 49, 77][0, 0, 0, 0]
[42, 46, 49, 77][0, 0, 0, 0]
[42, 47, 49, 77][0, 0, 0, 0]
[42, 47, 49, 77][0, 0, 0, 0]
[42, 47, 49, 78][0, 0, 0, 0]
[42, 47, 49, 78][0, 0, 0, 0]
[42, 47, 50, 78][0, 0, 0, 0]
[42, 47, 50, 78][0, 0, 0, 0]
[42, 47, 50, 79][0, 0, 0, 0]
[42, 47, 50, 79][0, 0, 0, 0]
[43, 47, 50, 79][0, 0, 0, 0]
[43, 47, 50, 79][0, 0, 0, 0]
[44, 47, 50, 79][0, 0, 0, 0]
[44, 47, 50, 79][0, 0, 0, 0]
[44, 47, 50, 80][0, 0, 0, 0]
[44, 47, 50, 80][0, 0, 0, 0]
[44, 48, 50, 80][0, 0, 0, 0]
[44, 48, 50, 80][0, 0, 0, 0]
[44, 48, 51, 80][0, 0, 0, 0]
[44, 48, 51, 80][0, 0, 0, 0]
[44, 49, 51, 80][0, 0, 0, 0]
[44, 49, 51, 80][0, 0, 0, 0]
[44, 49, 51, 81][0, 0, 0, 0]
[44, 49, 51, 81][0, 0, 0, 0]
[45, 49, 51, 81][0, 0, 0, 0]
[45, 49, 51, 81][0, 0, 0, 0]
[45, 49, 52, 81][0, 0, 0, 0]
[45, 49, 52, 81][0, 0, 0, 0]
[45, 50, 52, 81][0, 0, 0, 0]
[45, 50, 52, 81][0, 0, 0, 0]
[45, 51, 52, 81][0, 0, 0, 0]
[45, 51, 52, 81][0, 0, 0, 0]
[45, 51, 52, 82][0, 0, 0, 0]
[45, 51, 52, 82][0, 0, 0, 0]
[45, 51, 52, 83][0, 0, 0, 0]
[45, 51, 52, 83][0, 0, 0, 0]
[46, 51, 52, 83][0, 0, 0, 0]
[46, 51, 52, 83][0, 0, 0, 0]
[46, 51, 52, 84][0, 0, 0, 0]
[46, 51, 52, 84][0, 0, 0, 0]
[46, 52, 52, 84][0, 0, 0, 0]
[46, 52, 52, 84][0, 0, 0, 0]
[47, 52, 52, 84][0, 0, 0, 0]
[47, 52, 52, 84][0, 0, 0, 0]
[47, 52, 52, 85][0, 0, 0, 0]
[47, 52, 52, 85][0, 0, 0, 0]
[47, 53, 52, 85][0, 0, 0, 0]
[47, 53, 52, 85][0, 0, 0, 0]
[47, 54, 52, 85][0, 0, 0, 0]
[47, 54, 52, 85][0, 0, 0, 0]
[47, 55, 52, 85][0, 0, 0, 0]
[47, 55, 52, 85][0, 0, 0, 0]
[47, 55, 52, 86][0, 0, 0, 0]
[47, 55, 52, 86][0, 0, 0, 0]
[48, 55, 52, 86][0, 0, 0, 0]
[48, 55, 52, 86][0, 0, 0, 0]
[48, 55, 52, 87][0, 0, 0, 0]
[48, 55, 52, 87][0, 0, 0, 0]
[48, 55, 52, 88][0, 0, 0, 0]
[48, 55, 52, 88][0, 0, 0, 0]
[49, 55, 52, 88][0, 0, 0, 0]
[49, 55, 52, 88][0, 0, 0, 0]
[49, 55, 52, 89][0, 0, 0, 0]
[49, 55, 52, 89][0, 0, 0, 0]
[49, 55, 52, 90][0, 0, 0, 0]
[49, 55, 52, 90][0, 0, 0, 0]
[49, 56, 52, 90][0, 0, 0, 0]
[49, 56, 52, 90][0, 0, 0, 0]
[49, 56, 52, 91][0, 0, 0, 0]
[49, 56, 52, 91][0, 0, 0, 0]
[49, 57, 52, 91][0, 0, 0, 0]
[49, 57, 52, 91][0, 0, 0, 0]
[49, 57, 52, 92][0, 0, 0, 0]
[49, 57, 52, 92][0, 0, 0, 0]
[50, 57, 52, 92][0, 0, 0, 0]
[50, 57, 52, 92][0, 0, 0, 0]
[50, 57, 52, 93][0, 0, 0, 0]
[50, 57, 52, 93][0, 0, 0, 0]
[50, 57, 52, 94][0, 0, 0, 0]
[50, 57, 52, 94][0, 0, 0, 0]
[50, 58, 52, 94][0, 0, 0, 0]
[50, 58, 52, 94][0, 0, 0, 0]
[51, 58, 52, 94][0, 0, 0, 0]
[51, 58, 52, 94][0, 0, 0, 0]
[51, 58, 52, 95][0, 0, 0, 0]
[51, 58, 52, 95][0, 0, 0, 0]
[51, 59, 52, 95][0, 0, 0, 0]
[51, 59, 52, 95][0, 0, 0, 0]
[51, 60, 52, 95][0, 0, 0, 0]
[51, 60, 52, 95][0, 0, 0, 0]
[51, 60, 52, 96][0, 0, 0, 0]
[51, 60, 52, 96][0, 0, 0, 0]
[51, 60, 52, 97][0, 0, 0, 0]
[51, 60, 52, 97][0, 0, 0, 0]
[51, 60, 53, 97][0, 0, 0, 0]
[51, 60, 53, 97][0, 0, 0, 0]
[52, 60, 53, 97][0, 0, 0, 0]
[52, 60, 53, 97][0, 0, 0, 0]
[52, 60, 54, 97][0, 0, 0, 0]
[52, 60, 54, 97][0, 0, 0, 0]
[52, 60, 54, 98][0, 0, 0, 0]
[52, 60, 54, 98][0, 0, 0, 0]
[52, 61, 54, 98][0, 0, 0, 0]
[52, 61, 54, 98][0, 0, 0, 0]
[53, 61, 54, 98][0, 0, 0, 0]
[53, 61, 54, 98][0, 0, 0, 0]
[54, 61, 54, 98][0, 0, 0, 0]
[54, 61, 54, 98][0, 0, 0, 0]
[54, 62, 54, 98][0, 0, 0, 0]
[54, 62, 54, 98][0, 0, 0, 0]
[54, 63, 54, 98][0, 0, 0, 0]
[54, 63, 54, 98][0, 0, 0, 0]
[54, 63, 54, 99][0, 0, 0, 0]
[54, 63, 54, 99][0, 0, 0, 0]
[55, 63, 54, 99][0, 0, 0, 0]
[55, 63, 54, 99][0, 0, 0, 0]
[55, 63, 54, 100][0, 0, 0, 0]
[55, 63, 54, 100][0, 0, 0, 0]
[55, 64, 54, 100][0, 0, 0, 0]
[55, 64, 54, 100][0, 0, 0, 0]
[55, 65, 54, 100][0, 0, 0, 0]
[55, 65, 54, 100][0, 0, 0, 0]
[56, 65, 54, 100][0, 0, 0, 0]
[56, 65, 54, 100][0, 0, 0, 0]
[56, 65, 55, 100][0, 0, 0, 0]
[56, 65, 55, 100][0, 0, 0, 0]
[57, 65, 55, 100][0, 0, 0, 0]
[57, 65, 55, 100][0, 0, 0, 0]
[57, 65, 56, 100][0, 0, 0, 0]
[57, 65, 56, 100][0, 0, 0, 0]
[57, 66, 56, 100][0, 0, 0, 0]
[57, 66, 56, 100][0, 0, 0, 0]
[57, 66, 57, 100][0, 0, 0, 0]
[57, 66, 57, 100][0, 0, 0, 0]
[57, 67, 57, 100][0, 0, 0, 0]
[57, 67, 57, 100][0, 0, 0, 0]
[57, 68, 57, 100][0, 0, 0, 0]
[57, 68, 57, 100][0, 0, 0, 0]
[58, 68, 57, 100][0, 0, 0, 0]
[58, 68, 57, 100][0, 0, 0, 0]
[59, 68, 57, 100][0, 0, 0, 0]
[59, 68, 57, 100][0, 0, 0, 0]
[59, 68, 57, 101][0, 0, 0, 0]
[59, 68, 57, 101][0, 0, 0, 0]
[59, 69, 57, 101][0, 0, 0, 0]
[59, 69, 57, 101][0, 0, 0, 0]
[59, 69, 58, 101][0, 0, 0, 0]
[59, 69, 58, 101][0, 0, 0, 0]
[59, 70, 58, 101][0, 0, 0, 0]
[59, 70, 58, 101][0, 0, 0, 0]
[59, 70, 59, 101][0, 0, 0, 0]
[59, 70, 59, 101][0, 0, 0, 0]
[60, 70, 59, 101][0, 0, 0, 0]
[60, 70, 59, 101][0, 0, 0, 0]
[61, 70, 59, 101][0, 0, 0, 0]
[61, 70, 59, 101][0, 0, 0, 0]
